code,name,valumn,percent
90747,ST大控,12900,0.00%
90748,上實發展,7743464,0.54%
90750,江中藥業,3588386,0.85%
90754,錦江股份,4263906,0.65%
90755,廈門國貿,3756642,0.20%
90756,浪潮軟件,978357,0.30%
90757,長江傳媒,1335527,0.11%
90758,紅陽能源,1676157,0.24%
90759,洲際油氣,111829,0.00%
90760,中航沈飛,1536580,0.44%
90761,安徽合力,6803465,0.91%
90763,通策醫療,2361405,0.73%
90765,中航重機,4137280,0.53%
90770,綜藝股份,189916,0.01%
90773,西藏城投,470145,0.06%
90775,南京熊貓,1189658,0.17%
90776,東方通信,1950766,0.20%
90778,*ST友好,54100,0.01%
90779,水井坊,61876046,12.66%
90780,通寶能源,1192996,0.10%
90782,新鋼股份,44506105,1.59%
90783,魯信創投,337774,0.04%
90784,魯銀投資,99121,0.01%
90785,新華百貨,501,0.00%
90787,中儲股份,44152298,2.37%
90790,輕紡城,1637983,0.11%
90794,保稅科技,540138,0.04%
90795,國電電力,82906019,0.42%
90797,浙大網新,95300,0.01%
90801,華新水泥,26199420,2.69%
90802,福建水泥,144795,0.03%
90803,新奧股份,2416150,0.19%
90804,鵬博士,40683769,2.84%
90805,悅達投資,529940,0.06%
90807,*ST天業,323012,0.04%
90808,馬鋼股份,148392142,2.48%
90809,山西汾酒,3935462,0.45%
90811,東方集團,4797829,0.14%
90814,杭州解百,5058176,0.70%
90816,安信信托,31231188,0.66%
90818,中路股份,2079912,0.87%
90820,隧道股份,13771743,0.43%
90823,世茂股份,35796197,0.95%
90824,益民集團,5063955,0.48%
90825,新華傳媒,1502650,0.14%
90826,蘭生股份,481445,0.11%
90827,百聯股份,5597284,0.36%
90828,茂業商業,4064864,0.62%
90829,人民同泰,1367267,0.23%
90830,香溢融通,1091209,0.24%
90831,廣電網絡,489922,0.08%
90833,第一醫藥,27900,0.01%
90835,上海機電,3161316,0.39%
90837,海通證券,75082132,0.92%
90838,上海九百,418870,0.10%
90839,四川長虹,3583599,0.07%
90845,寶信軟件,45869,0.00%
90846,同濟科技,1870291,0.29%
90850,華東電腦,1607120,0.38%
90856,中天能源,4598237,0.40%
90858,銀座股份,96632,0.01%
90859,王府井,28882105,9.46%
90860,京城股份,786473,0.24%
90862,中航高科,1772969,0.22%
90863,內蒙華電,12413310,0.21%
90864,哈投股份,1116806,0.07%
90867,通化東寶,142084652,7.20%
90869,智慧能源,1182869,0.05%
90871,石化油服,854116,0.00%
90872,中炬高新,16978270,2.13%
90873,梅花生物,2562316,0.08%
90874,創業環保,947394,0.08%
90875,東方電氣,4798849,0.24%
90876,洛陽玻璃,448626,0.17%
90879,航天電子,7854719,0.32%
90880,博瑞傳播,951325,0.12%
90881,亞泰集團,7694487,0.23%
90882,廣澤股份,400,0.00%
90884,杉杉股份,9236740,1.12%
90885,宏發股份,50425386,6.77%
90886,國投電力,61446642,0.90%
90887,伊利股份,708725501,11.74%
90888,新疆眾和,1145549,0.13%
90891,秋林集團,46302,0.01%
90893,航發動力,12790384,0.65%
90894,廣日股份,990636,0.11%
90895,張江高科,5860726,0.37%
90897,廈門空港,3398732,1.14%
90900,長江電力,1191078591,10.35%
90909,華安證券,8216505,0.30%
90917,重慶燃氣,297543,0.01%
90919,江蘇銀行,41451215,0.68%
90926,杭州銀行,15670906,0.75%
90933,愛柯迪,9300,0.00%
90958,東方證券,31461870,0.60%
90959,江蘇有線,2275404,0.05%
90963,岳陽林紙,482817,0.04%
90965,福成股份,504430,0.06%
90967,內蒙一機,2105212,0.21%
90970,中材國際,3193833,0.18%
90971,恆源煤電,4271536,0.42%
90973,寶勝股份,3194713,0.35%
90975,新五豐,464997,0.07%
90976,健民集團,71900,0.04%
90977,中國電影,5175358,0.91%
90978,宜華生活,10921603,0.73%
90979,廣安愛眾,30909,0.00%
90981,匯鴻集團,668078,0.27%
90983,惠而浦,7200,0.00%
90985,雷鳴科化,89,0.00%
90986,科達股份,1301345,0.17%
90987,航民股份,3824140,0.60%
90988,赤峰黃金,3411150,0.23%
90990,四創電子,441835,0.32%
90993,馬應龍,4047300,0.94%
90995,文山電力,163911,0.03%
90996,貴廣網絡,27776,0.00%
90997,開灤股份,161808,0.01%
90998,九州通,15071118,0.90%
90999,招商證券,21291457,0.43%
91000,唐山港,20773328,0.37%
91001,大同煤業,10789229,0.64%
91002,晉億實業,1272169,0.16%
91003,柳鋼股份,22965178,0.89%
91005,*ST重鋼,24499921,0.29%
91006,大秦鐵路,596528552,4.01%
91009,南京銀行,127343300,1.50%
91010,文峰股份,2067923,0.11%
91012,隆基股份,44575996,1.61%
91015,陝西黑貓,409124,0.04%
91016,節能風電,11952489,0.28%
91018,寧波港,32157974,0.25%
91019,山東出版,404600,0.15%
91020,華鈺礦業,1796088,0.63%
91021,春秋航空,19230893,2.40%
91038,一拖股份,3189964,0.53%
91058,賽輪金宇,16754467,0.74%
91066,中信建投,26600,0.00%
91069,西部黃金,279637,0.04%
91088,中國神華,72424532,0.43%
91098,中南傳媒,111235141,6.19%
91099,太平洋,36524521,0.56%
91100,恆立液壓,3555830,0.40%
91101,昊華能源,407534,0.03%
91106,中國一重,1196845,0.01%
91107,四川成渝,6565015,0.30%
91108,財通證券,1103877,0.30%
91111,中國國航,66100695,0.69%
91116,三江購物,711195,0.17%
